"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","ACK_TIMER","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendAckPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"02b-补充长测-20min","默认误码洪水补充长测","False","1200","2200","3","100","63000","supp-long-default-ack100-20260516-224655","86.69","86.57","86.63","4058","4052","520","526","4.282","6.935","1922","1923","212","10.6","96.1","151","152","True","False","False","False","False","True","86.12","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack100-20260516-224655-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack100-20260516-224655-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack100-20260516-224655-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack100-20260516-224655-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack100\build-ack100.txt","1200.5"
"02b-补充长测-20min","默认误码洪水补充长测","False","1200","2200","3","140","63001","supp-long-default-ack140-20260516-224656","86.13","86.47","86.3","4028","4046","520","526","6.635","4.614","1851","1853","239","11.95","92.55","153","156","True","False","False","False","False","True","85.756","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack140-20260516-224656-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack140-20260516-224656-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack140-20260516-224656-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack140-20260516-224656-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack140\build-ack140.txt","1200.3"
"02b-补充长测-20min","默认误码洪水补充长测","False","1200","2200","3","160","63002","supp-long-default-ack160-20260516-224656","85.9","86.52","86.21","4018","4049","519","524","7.365","4.678","1803","1803","248","12.4","90.15","153","160","True","False","False","False","False","True","85.658","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack160-20260516-224656-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack160-20260516-224656-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack160-20260516-224656-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack160-20260516-224656-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack160\build-ack160.txt","1201.1"
"02b-补充长测-20min","默认误码洪水补充长测","False","1200","2200","3","200","63003","supp-long-default-ack200-20260516-224657","85.62","85.84","85.73","3999","4018","523","517","4.281","4.667","1713","1714","262","13.1","85.65","161","167","True","False","False","False","False","True","85.166","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack200-20260516-224657-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack200-20260516-224657-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack200-20260516-224657-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\02b-补充长测-20min\supp-long-default-ack200-20260516-224657-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack200\build-ack200.txt","1200.9"
