"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","ACK_TIMER","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendAckPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"01-粗筛-2min","默认误码洪水","False","20","2200","3","120180","61000","coarse-default-flood-ack120180-20260516-211417","74","85.26","79.63","50","62","7","8","3.196","3.696","0","0","6","18","0","3","3","True","False","False","False","False","True","79.09","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\01-粗筛-2min\coarse-default-flood-ack120180-20260516-211417-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\01-粗筛-2min\coarse-default-flood-ack120180-20260516-211417-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\01-粗筛-2min\coarse-default-flood-ack120180-20260516-211417-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\01-粗筛-2min\coarse-default-flood-ack120180-20260516-211417-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\_bin\ack120180\build-ack120180.txt","19.9"
"02-长测-20min","默认误码洪水","False","30","2200","3","120","61001","long-default-flood-ack120-20260516-211440","91.21","85.36","88.285","103","93","13","12","2.186","3.473","49","49","2","4","98","3","3","True","False","False","False","False","True","87.969","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120-20260516-211440-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120-20260516-211440-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120-20260516-211440-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120-20260516-211440-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\_bin\ack120\build-ack120.txt","29.8"
"02-长测-20min","默认误码洪水","False","30","2200","3","120180","61002","long-default-flood-ack120180-20260516-211440","81.67","81.99","81.83","91","95","12","13","3.417","3.919","0","0","6","12","0","4","4","True","False","False","False","False","True","81.47","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120180-20260516-211440-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120180-20260516-211440-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120180-20260516-211440-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\02-长测-20min\long-default-flood-ack120180-20260516-211440-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\_bin\ack120180\build-ack120180.txt","30.4"
"03-冠军复测-20min","默认误码洪水","False","30","2200","3","120","61003","retest-default-flood-ack120-20260516-211511","96.77","82.82","89.795","104","93","13","12","2.146","4.274","37","37","2","4","74","2","3","True","False","False","False","False","True","89.527","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\03-冠军复测-20min\retest-default-flood-ack120-20260516-211511-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\03-冠军复测-20min\retest-default-flood-ack120-20260516-211511-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\03-冠军复测-20min\retest-default-flood-ack120-20260516-211511-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\03-冠军复测-20min\retest-default-flood-ack120-20260516-211511-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\_bin\ack120\build-ack120.txt","29.8"
"04-无误码校验-2min","无误码洪水","True","20","2200","3","120","61004","utopia-flood-ack120-20260516-211541","96.72","96.46","96.59","72","72","9","9","2.149","2.157","30","30","0","0","90","0","0","True","False","False","False","False","True","96.41","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\04-无误码校验-2min\utopia-flood-ack120-20260516-211541-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\04-无误码校验-2min\utopia-flood-ack120-20260516-211541-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\04-无误码校验-2min\utopia-flood-ack120-20260516-211541-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\04-无误码校验-2min\utopia-flood-ack120-20260516-211541-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211412\_bin\ack120\build-ack120.txt","19.8"
