"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","ACK_TIMER","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendAckPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"03-冠军复测-20min","默认误码洪水","False","2","2200","3","80","62000","resume-retest-default-flood-ack80-20260516-220522","0","0","0","0","0","0","0","0","0","2","2","0","0","60","0","0","True","False","False","False","False","True","-0.12","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220522-A.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220522-B.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220522-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack80-20260516-220522-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\_bin\ack80\build-ack80.txt","2"
"03-冠军复测-20min","默认误码洪水","False","2","2200","3","120","62001","resume-retest-default-flood-ack120-20260516-220522","0","0","0","0","0","0","0","0","0","3","3","0","0","90","1","1","True","False","False","False","False","True","-0.18","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220522-A.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220522-B.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220522-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack120-20260516-220522-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\_bin\ack120\build-ack120.txt","2.5"
"03-冠军复测-20min","默认误码洪水","False","2","2200","3","180","62002","resume-retest-default-flood-ack180-20260516-220523","0","0","0","0","0","0","0","0","0","1","1","0","0","30","0","0","True","True","False","False","False","False","-0.06","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220523-A.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220523-B.log","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220523-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\03-冠军复测-20min\resume-retest-default-flood-ack180-20260516-220523-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\tmp\acktimer-resume-smoke-root\_bin\ack180\build-ack180.txt","2.1"
