"Stage","Scenario","Utopia","DurationSec","DATA_TIMER","BACKLOG_FACTOR","ACK_TIMER","Port","Tag","AUtil","BUtil","AvgUtil","APackets","BPackets","AStatsCount","BStatsCount","AMaxStatsGap","BMaxStatsGap","SendAckTotal","AckTimeoutTotal","DataTimeoutTotal","DataTimeoutPerMin","SendAckPerMin","SendNakTotal","BadCrcTotal","BothQuit","ForcedStop","Fatal","BadPacket","PhlOverflow","Valid","Score","ALog","BLog","AStdout","BStdout","BuildLog","WallSeconds"
"04b-补充无误码校验-2min","无误码洪水补充校验","True","120","2200","3","100","64000","supp-utopia-ack100-20260516-224655","96.71","96.73","96.72","448","448","56","56","2.169","2.157","86","86","0","0","43","0","0","True","False","False","False","False","True","96.634","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack100-20260516-224655-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack100-20260516-224655-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack100-20260516-224655-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack100-20260516-224655-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack100\build-ack100.txt","120.8"
"04b-补充无误码校验-2min","无误码洪水补充校验","True","120","2200","3","140","64001","supp-utopia-ack140-20260516-224656","96.79","96.76","96.775","448","448","56","56","2.151","2.153","66","66","0","0","33","0","0","True","False","False","False","False","True","96.709","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack140-20260516-224656-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack140-20260516-224656-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack140-20260516-224656-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack140-20260516-224656-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack140\build-ack140.txt","120.4"
"04b-补充无误码校验-2min","无误码洪水补充校验","True","120","2200","3","160","64002","supp-utopia-ack160-20260516-224656","96.73","96.71","96.72","448","448","56","56","2.179","2.153","80","80","0","0","40","0","0","True","False","False","False","False","True","96.64","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack160-20260516-224656-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack160-20260516-224656-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack160-20260516-224656-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack160-20260516-224656-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack160\build-ack160.txt","121"
"04b-补充无误码校验-2min","无误码洪水补充校验","True","120","2200","3","200","64003","supp-utopia-ack200-20260516-224657","96.95","96.92","96.935","448","448","56","56","2.15","2.152","8","8","0","0","4","0","0","True","False","False","False","False","True","96.927","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack200-20260516-224657-A.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack200-20260516-224657-B.log","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack200-20260516-224657-A.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\04b-补充无误码校验-2min\supp-utopia-ack200-20260516-224657-B.stdout.txt","C:\code\CN-Lab1-Windows-VS2017\docs\测试记录\4.3-ACK搭载定时器\ack-opt-dt2200-bg3-20260516-211648\_bin\ack200\build-ack200.txt","120.6"
